imo,dwt
9290878,55741
9290880,177325
9290892,56035
9290971,88125
9290983,53552
9290995,50316
9291078,56050
9291080,56060
9291092,75744
9291107,75698
9291119,75804
9291121,75409
9291341,91439
9291353,53074
9291365,53020
9291377,55707
9291389,55695
9291391,55695
9291406,77171
9291418,76838
9291420,76838
9291432,76759
9291779,76390
9291781,76310
9292383,57646
9292395,57133
9292400,57093
9292412,57249
9292527,57646
9292539,57596
9292541,57605
9292553,57599
9292565,173691
9292618,75331
9293105,53125
9293674,53589
9293686,53605
9293739,177346
9294109,74477
9294111,74432
9294197,52050
9294202,52050
9294214,52050
9294472,76801
9294484,76801
9294496,76801
9294501,76704
9294941,56060
9295012,171926
9295127,73902
9295189,74259
9295191,74272
9295608,177173
9296066,76633
9296157,50351
9296200,180202
9296212,180181
9296224,75744
9296236,75734
9296248,75656
9296250,75621
9296262,75621
9296420,203180
9296602,50471
9296626,82214
9296743,52307
9296755,52307
9296767,52301
9296779,52307
9296781,46412
9296793,77326
9296808,77328
9296846,87052
9296858,87052
9296963,175569
9297929,73691
9297931,73691
9298258,76525
9298480,174398
9298519,52292
9298521,52498
9298533,52489
9298545,52514
9298557,52447
9298569,52525
9298923,49794
9299276,53565
9299288,53565
9299290,53565
9299305,53565
9299604,74432
9299616,74381
9299915,48857
9300116,73603
9300128,73581
9300221,55862
9300283,54239
9300295,54043
9300362,173587
9300374,173764
9300491,55916
9300506,55953
9300518,55924
9300520,55912
9300532,55905
9300556,74195
9300570,177022
9300582,176996
9300594,177005
9300611,52223
9300623,52223
9301031,82790
9301043,82790
9301055,82790
9301067,175971
9301079,176303
9301146,53702
9301184,53533
9301196,53533
9301720,55257
9301756,55496
9302748,76602
9302750,76606
9302762,76596
9302774,76602
9302786,76619
9302798,55820
9302803,55888
9302815,55809
9302827,55765
9302839,56056
9302841,56025
9303003,56052
9303015,55705
9303027,55697
9303039,56018
9303041,56023
9303053,55725
9303065,55742
9303077,56039
9303089,56024
9303091,56070
9303106,75709
9303118,54514
9303120,52001
9303132,51976
9303144,75637
9303510,77747
9303833,177106
9303845,177036
9303869,46412
9303871,55730
9303883,55709
9303900,81887
9303912,81887
9303924,55710
9303936,86062
9303948,86141
9304069,72562
9304071,77053
9304083,77073
9304095,55309
9304100,55697
9304112,55699
9304124,77430
9304148,106445
9304150,106552
9304162,77053
9304174,76838
9304186,76830
9304198,76830
9304203,76737
9304215,76752
9304227,76773
9304239,76784
9304241,76739
9304253,76801
9304265,76728
9304277,76806
9304289,76807
9304370,55418
9304382,55418
9304538,177477
9304540,177656
9304576,76801
9304930,203512
9304942,203512
9305087,74759
9305099,74477
9305104,74475
9305142,73901
9305192,73664
9305207,73518
9305219,73664
9305221,73664
9307061,173624
9307073,173541
9307578,53565
9307580,53565
9307657,73600
9308106,53284
9308118,53299
9308247,55921
9308704,55539
9308716,55676
9308728,72562
9308869,174333
9308871,174234
9309019,174766
9309021,173806
9309485,87036
9309497,87036
9309631,52297
9309643,52454
9309655,51966
9310123,176990
9310135,176925
9310276,82962
9310288,83001
9310290,82951
9310408,76633
9310410,76598
9310422,88269
9310434,88174
9310446,76629
9310513,44692
9310537,75726
9310549,53526
9310628,82922
9310630,82981
9310642,83002
9310666,53169
9310678,53556
9311139,49798
9311141,75944
9311153,75880
9311165,82379
9311177,75884
9311189,75886
9311191,75843
9311206,83007
9311218,76465
9311220,82936
9311282,176967
9311440,177656
9311452,176882
9311464,177544
9311476,177536
9311490,56056
9311517,56015
9311529,56023
9311593,171908
9311608,171876
9311816,180310
9311828,180310
9312250,203278
9312303,207960
9313022,53489
9313058,74476
9313060,74476
9313278,55496
9313280,77089
9313292,82499
9313307,82464
9313395,174674
9313400,174222
9313412,174142
9313503,55447
9314052,180310
9314064,180310
9314076,180310
9314090,180310
9314129,171809
9314624,77061
9314636,77061
9314648,82282
9314674,203272
9316036,76812
9316048,76631
9316050,76741
9316062,76863
9316153,55435
9316165,55407
9316189,55621
9316191,55566
9316206,55561
9316218,49420
9316220,55317
9316658,76633
9316660,76629
9316672,76629
9316684,76629
9316804,55838
9316816,55862
9316828,185827
9316854,75765
9316866,75756
9316878,75740
9316880,75698
9316892,75632
9316907,75674
9316919,46900
9317004,76343
9317080,52454
9317092,52454
9317107,52347
9317119,52347
9317121,52454
9317133,52454
9317145,52454
9317157,52454
9317169,52454
9317341,54881
9317353,54881
9317365,54881
9317377,54881
9317389,85926
9317391,60575
9317406,46627
9317418,46627
9317420,52900
9317456,77171
9317468,77171
9317470,77283
9317482,46619
9317494,55728
9317511,82372
9317523,82338
9317535,86041
9317547,55303
9317559,55381
9317729,76781
9317810,87144
9317822,87144
9317834,87144
9318357,74408
9318369,74405
9318591,73593
9318606,73593
9320362,171827
9320996,54316
9321005,54239
9321158,173764
9321275,327180
9321914,74930
9321926,75527
9322023,297351
9322762,53474
9322774,53459
9323053,82014
9323065,82050
9323455,175009
9323558,55589
9323572,297584
9323833,73664
9323871,87144
9323883,87144
9323895,56676
9323900,56678
9323912,86949
9324069,55803
9324071,55814
9324083,55711
9324095,56045
9324112,177533
9324124,177489
9324136,229548
9324148,56010
9324150,56058
9324239,74143
9324461,207805
9324502,171827
9324605,52458
9324617,52346
9324629,52346
9324631,52450
9324643,52415
9324655,52424
9324667,52385
9324992,180235
9325001,180265
9325013,180265
9325025,180263
9325051,76620
9325063,76629
9325075,53873
9325087,53827
9325295,297541
9325300,207826
9325350,53464
9325661,174332
9326122,85778
9326146,54170
9326158,77376
9326160,77283
9326275,82273
9326299,91439
9326354,54390
9326366,54339
9326378,55338
9326380,106506
9326392,106507
9326536,76596
9327736,185879
9327815,203512
9328522,53565
9328534,53565
9328558,75397
9328560,75395
9328572,75395
9328675,56024
9328936,82209
9328948,82221
9329447,174413
9329459,175500
9329801,177456
9329813,56019
9329825,55677
9329837,56011
9330082,53591
9330094,53594
9330109,53565
9330111,53630
9330290,176955
9330305,177003
9330317,77075
9330329,77031
9330422,53626
9330628,53565
9330630,53538
9330642,53565
9330654,53538
9330666,53538
9330678,53414
9330800,73546
9330812,76499
9330824,174124
9330898,76620
9331062,297442
9331220,56026
9331232,56042
9331397,82992
9331414,203153
9331426,203264
9331464,177243
9331517,203280
9331529,75379
9331531,203212
9331543,75375
9331555,175874
9331684,53538
9331696,53538
9331713,53538
9331749,53661
9331751,53505
9331866,55682
9331878,56057
9331880,56071
9331892,56083
9331907,56013
9331919,56049
9331921,56071
9331933,56039
9332016,92710
9332212,76588
9332224,76499
9332523,171681
9332793,77247
9332808,77247
9332951,171810
9332963,56062
9333266,53556
9333797,185897
9333929,53410
9333931,53410
9334870,297567
9334882,297430
9334894,297571
9334909,297488
9335020,50300
